label,file,paper_id,sum_node_degree,graph_longest_path,pw_node_count,pw_total_cites,lim_scope_avg_cites,method_node_count
ai,FA0001.json,FA0001,38,12,4,3,3,4
ai,FA0005.json,FA0005,32,13,1,0,0,3
ai,FA0006.json,FA0006,30,12,1,1,1,4
ai,FA0007.json,FA0007,36,13,2,3,3,2
ai,FA0008.json,FA0008,36,13,2,4,4,4
ai,FA0011.json,FA0011,36,12,4,4,1,5
ai,FA0012.json,FA0012,36,13,2,3,1,1
ai,FA0013.json,FA0013,32,13,2,1,1,2
ai,FA0018.json,FA0018,28,10,2,2,1,3
ai,FA0021.json,FA0021,34,13,3,3,1,2
ai,FA0022.json,FA0022,38,13,2,1,1,3
ai,FA0025.json,FA0025,34,10,2,1,1,3
ai,FA0027.json,FA0027,38,12,1,1,1,2
ai,FA0028.json,FA0028,44,17,4,3,2,3
ai,FA0032.json,FA0032,40,16,2,2,2,5
ai,FA0034.json,FA0034,30,12,3,3,1,2
ai,FA0035.json,FA0035,36,13,2,1,1,3
ai,FA0038.json,FA0038,36,14,5,4,2,5
ai,FA0041.json,FA0041,34,11,2,2,2,5
ai,FA0047.json,FA0047,32,13,2,1,1,2
ai,FA0058.json,FA0058,38,15,1,2,2,2
ai,FA0063.json,FA0063,40,16,4,1,0,6
ai,FA0069.json,FA0069,48,19,2,2,2,4
ai,FA0073.json,FA0073,30,13,2,2,1,3
ai,FA0074.json,FA0074,40,11,2,0,0,8
ai,FA0115.json,FA0115,38,16,2,2,2,3
ai,FA0116.json,FA0116,34,14,2,3,3,2
ai,FA0153.json,FA0153,36,15,3,1,1,3
ai,FA0163.json,FA0163,32,14,1,3,3,3
ai,FA0172.json,FA0172,34,15,1,2,2,4
ai,FA0175.json,FA0175,30,12,2,3,3,3
ai,FA0181.json,FA0181,30,13,2,1,1,2
ai,FA0191.json,FA0191,40,14,4,6,6,6
ai,FA0193.json,FA0193,38,15,3,1,1,2
ai,FA0201.json,FA0201,36,15,1,0,0,4
ai,FA0209.json,FA0209,46,18,4,6,2,4
ai,FA0213.json,FA0213,38,13,1,1,1,5
ai,FA0214.json,FA0214,48,17,1,0,0,3
ai,FA0231.json,FA0231,38,14,5,5,5,3
ai,FA0235.json,FA0235,28,13,1,2,0,4
human,FA0001_anchor.json,FA0001_anchor,46,21,3,2,1,3
human,FA0006_anchor.json,FA0006_anchor,34,17,1,4,4,3
human,FA0008_anchor.json,FA0008_anchor,66,26,1,2,2,13
human,FA0011_anchor.json,FA0011_anchor,90,25,3,3,3,17
human,FA0012_anchor.json,FA0012_anchor,84,31,4,12,9,14
human,FA0013_anchor.json,FA0013_anchor,92,35,6,11,7,12
human,FA0018_anchor.json,FA0018_anchor,76,29,7,3,1,9
human,FA0021_anchor.json,FA0021_anchor,50,22,4,10,7,11
human,FA0022_anchor.json,FA0022_anchor,44,20,2,3,1,0
human,FA0032_anchor.json,FA0032_anchor,38,14,2,3,3,6
human,FA0034_anchor.json,FA0034_anchor,66,25,8,14,4,5
human,ICLR_ActBeacon.json,ICLR_ActBeacon,80,33,3,5,5,15
human,ICLR_Anonymizer.json,ICLR_Anonymizer,60,25,2,4,4,5
human,ICLR_AsyncMoE.json,ICLR_AsyncMoE,62,24,8,16,13,3
human,ICLR_AttentionHeads.json,ICLR_AttentionHeads,58,24,4,13,4,9
human,ICLR_AutoGDA.json,ICLR_AutoGDA,74,31,7,14,11,4
human,ICLR_BIRD.json,ICLR_BIRD,66,26,0,0,0,17
human,ICLR_BSTaR.json,ICLR_BSTaR,52,22,4,7,1,7
human,ICLR_Backtracking.json,ICLR_Backtracking,38,18,2,4,2,4
human,ICLR_CausalConcept.json,ICLR_CausalConcept,54,21,4,6,4,2
human,ICLR_ContractivePolicy.json,ICLR_ContractivePolicy,60,21,7,13,7,3
human,ICLR_FasterCache.json,ICLR_FasterCache,80,32,4,4,4,8
human,ICLR_HeadKV.json,ICLR_HeadKV,52,24,2,5,5,9
human,ICLR_InferenceScaling.json,ICLR_InferenceScaling,82,30,3,7,6,16
human,ICLR_InfluenceFunctions.json,ICLR_InfluenceFunctions,56,26,7,5,4,6
human,ICLR_KAN.json,ICLR_KAN,58,21,5,11,10,8
human,ICLR_LinearRNN.json,ICLR_LinearRNN,42,18,7,13,4,4
human,ICLR_MRAGBench.json,ICLR_MRAGBench,52,25,5,6,3,5
human,ICLR_MiniCoreset.json,ICLR_MiniCoreset,72,22,5,7,3,4
human,ICLR_NeuralODE.json,ICLR_NeuralODE,78,23,5,12,7,2
human,ICLR_OfflineHRL.json,ICLR_OfflineHRL,44,16,6,11,5,3
human,ICLR_OpenWorldRL.json,ICLR_OpenWorldRL,66,27,3,4,3,12
human,ICLR_OscSSM.json,ICLR_OscSSM,34,12,2,5,5,2
human,ICLR_PatchTraining.json,ICLR_PatchTraining,54,27,2,3,3,8
human,ICLR_PerplexityCorr.json,ICLR_PerplexityCorr,30,15,2,12,10,3
human,ICLR_RaNA.json,ICLR_RaNA,60,24,3,4,4,6
human,ICLR_StemOB.json,ICLR_StemOB,50,24,5,6,2,8
human,ICLR_TransformerSq.json,ICLR_TransformerSq,80,32,8,10,7,10
human,ICLR_WizardMath.json,ICLR_WizardMath,70,32,18,21,6,8
human,ICLR_metabench.json,ICLR_metabench,48,18,1,2,2,9
